"Код";"Группа";"Наименование";"Артикул";"Комментарий";"НаименованиеПолное";"Вид";"Цена";"Валюта"
"UT000000214";"Экран ";"Экран на Мельникайте 117";"12346";"Экран расположен в экономически активном месте города, на ул. Мельникайте 117 (напротив ТРЦ Премьер).Плотный автомобильный и пешеходный поток создает аудиторию более 80 000 человек в день! Площадь экрана составляет 56 кв.м";"Размещение рекламной информации на видеотабло по адресу ул.Мельникайте, 117";"Экран";"0";"RUB"
"UT000000452";"Экран ";"Экран на 50 лет октября";"12345";"Плотный автомобильный поток (проходимость в будний день до 7 000 машин в час), постоянные пробки, улицы с 4-х и 3-х полосным движением (интервал времени работы светофора от 55 до 73 секунд)";"Размещение рекламной информации на видеотабло по адресу ул.50 лет Октября-Профсоюзная перекресток";"Экран";"0";"RUB"
